Date,Open,High,Low,Close,Volume,PriceMode
2026-06-30,13.9,13.93,13.76,13.76,111656,adjusted
2026-07-01,13.76,13.88,13.715,13.72,98663,adjusted
2026-07-02,13.73,13.93,13.73,13.88,122876,adjusted
2026-07-06,13.9,13.98,13.86,13.86,234077,adjusted
2026-07-07,13.89,13.9,13.765,13.85,185293,adjusted
2026-07-08,13.7,13.7692,13.645,13.75,150142,adjusted
2026-07-09,13.75,13.75,13.585,13.7187,126220,adjusted
2026-07-10,13.76,13.93,13.75,13.93,97200,adjusted
2026-07-13,13.86,13.99,13.86,13.96,139097,adjusted
2026-07-14,14.0,14.0,13.9,13.92,114973,adjusted
2026-07-15,13.9,13.92,13.812,13.85,158601,adjusted
2026-07-16,13.85,13.88,13.81,13.84,102058,adjusted
2026-07-17,13.84,13.86,13.7,13.77,92007,adjusted
2026-07-20,13.79,13.86,13.775,13.775,61062,adjusted
2026-07-21,13.84,14.01,13.75,13.95,548910,adjusted
2026-07-22,14.11,14.11,13.93,13.93,207429,adjusted
2026-07-23,13.84,13.93,13.75,13.785,368330,adjusted
2026-07-24,13.75,13.87,13.735,13.87,240689,adjusted
2026-07-27,13.94,14.1,13.89,14.1,91750,adjusted
2026-07-28,14.07,14.1,13.95,14.02,111699,adjusted
2026-07-29,14.13,14.25,14.03,14.18,71702,adjusted
2026-07-30,14.19,14.27,14.1,14.27,48359,adjusted
2026-07-31,14.27,14.41,14.1601,14.34,140037,adjusted
2026-08-03,14.27,14.48,14.23,14.46,110361,adjusted
2026-08-04,14.33,14.6,14.32,14.58,148628,adjusted
2026-08-05,14.54,14.61,14.51,14.6,121781,adjusted
2026-08-06,14.65,14.8,14.6388,14.78,290754,adjusted
2026-08-07,14.75,14.8,14.6288,14.8,83847,adjusted
2026-08-10,14.8,15.12,14.785,15.12,177472,adjusted
2026-08-11,15.24,15.29,15.185,15.24,106154,adjusted
2026-08-12,15.22,15.22,15.03,15.16,99962,adjusted
2026-08-13,15.19,15.265,15.17,15.23,142838,adjusted
2026-08-14,15.16,15.35,15.16,15.27,59746,adjusted
2026-08-17,15.18,15.24,15.1,15.22,96886,adjusted
2026-08-18,15.18,15.24,15.092,15.14,59728,adjusted
2026-08-19,15.23,15.56,15.23,15.55,102819,adjusted
2026-08-20,15.57,15.765,15.57,15.72,113554,adjusted
2026-08-21,15.85,15.9499,15.8199,15.86,84477,adjusted
2026-08-24,15.86,15.86,15.67,15.73,132483,adjusted
2026-08-25,15.79,15.96,15.758,15.91,109649,adjusted
2026-08-26,15.86,15.9,15.7,15.79,130566,adjusted
