Date,Open,High,Low,Close,Volume
2023-03-30,82.58,82.7,81.78,82.26,13730400
2023-03-31,82.47,82.965,82.165,82.83,16147327
2023-04-03,86.32,87.14,85.87,86.58,31226124
2023-04-04,86.84,86.95,84.25,85.01,24681487
2023-04-05,85.22,86.29,84.51,86.29,20276134
2023-04-06,86.16,86.2481,84.805,84.98,16689270
2023-04-10,85.3,86.64,85.3,85.66,13488647
2023-04-11,86.14,87.01,85.6499,86.47,12787580
2023-04-12,87.07,87.25,86.27,86.53,16667178
2023-04-13,86.4,87.29,86.19,87.07,15692262
2023-04-14,87.19,87.7388,86.72,87.23,11780079
2023-04-17,86.94,87.3,85.9,86.2,11868017
2023-04-18,86.0,86.76,85.57,86.54,12246759
2023-04-19,85.76,86.31,85.29,86.24,17123070
2023-04-20,85.04,85.5,84.44,85.48,15198120
2023-04-21,85.79,85.83,84.6,84.98,16878782
2023-04-24,84.71,86.68,84.68,86.28,12625917
2023-04-25,85.44,85.59,84.16,84.66,15332606
2023-04-26,84.06,84.84,83.02,83.53,19951534
2023-04-27,83.48,84.04,82.69,83.83,17057343
2023-04-28,83.53,85.59,83.24,85.13,19114270
2023-05-01,84.06,85.08,83.7244,84.17,13910686
2023-05-02,83.16,83.29,79.74,80.51,33823986
2023-05-03,79.48,80.41,78.96,78.99,29683773
2023-05-04,79.02,79.82,77.8717,78.11,26430480
2023-05-05,80.27,80.86,79.79,80.23,19536652
2023-05-08,81.4,81.75,80.22,80.23,16355949
2023-05-09,79.6,81.02,79.425,80.26,20710621
2023-05-10,80.66,80.82,78.75,79.35,18026000
2023-05-11,78.23,78.81,77.8,78.4,19084137
2023-05-12,78.79,79.3199,77.9501,78.52,18956635
2023-05-15,78.81,79.37,78.19,78.92,16272278
2023-05-16,78.55,78.89,76.865,76.98,22260859
2023-05-17,77.77,78.88,77.2,78.46,23100333
2023-05-18,77.99,79.125,77.5,79.03,16577126
2023-05-19,79.76,80.26,79.19,79.64,18061094
2023-05-22,79.34,80.118,79.19,79.31,13471766
2023-05-23,80.07,81.07,79.855,80.16,21401872
2023-05-24,80.79,81.13,79.83,80.51,16737145
2023-05-25,79.35,79.52,78.34,79.08,19125452
2023-05-26,79.56,79.78,78.36,78.77,14392873
2023-05-30,77.4,78.05,77.1,77.96,20165805
2023-05-31,76.74,77.33,76.33,76.59,22353496
2023-06-01,76.77,78.41,76.25,77.54,25811840
2023-06-02,78.99,80.28,78.45,79.9,27639389
2023-06-05,81.07,81.07,79.23,79.37,18913100
2023-06-06,78.32,80.08,78.24,80.01,17375360
2023-06-07,80.4,82.23,80.35,82.13,30327137
2023-06-08,82.24,82.515,80.42,81.78,23081137
2023-06-09,81.74,82.14,81.11,81.33,19194061
2023-06-12,80.11,81.36,80.0,80.55,18196130
2023-06-13,81.44,82.515,80.89,80.93,20068212
2023-06-14,81.73,82.09,79.5,80.1,23802686
2023-06-15,80.24,81.59,80.22,80.98,23388539
2023-06-16,81.28,81.51,80.625,80.86,23730882
2023-06-20,79.62,79.705,77.77,78.36,21283660
2023-06-21,78.04,79.645,77.92,78.98,17236870
2023-06-22,78.26,78.35,77.63,77.92,16755381
2023-06-23,77.08,77.565,76.721,77.36,17452556
2023-06-26,77.5,79.19,77.32,78.75,16244304
2023-06-27,78.67,79.27,78.21,78.93,14194194
2023-06-28,78.85,79.83,78.15,79.73,16451630
2023-06-29,80.03,80.65,79.6,80.65,14217892
2023-06-30,81.2,81.58,80.6,81.17,17985293
2023-07-03,81.37,81.97,81.06,81.36,9769891
2023-07-05,81.7,81.715,80.45,80.91,16280342
2023-07-06,80.03,80.59,78.485,79.09,20983885
2023-07-07,78.7,81.535,78.64,80.79,24458027
2023-07-10,80.58,81.58,80.52,81.42,15462510
2023-07-11,81.79,83.34,81.63,83.21,19821023
2023-07-12,83.89,84.45,83.46,83.98,21538759
2023-07-13,83.98,84.495,82.88,83.66,26613237
2023-07-14,83.12,83.2,81.25,81.45,21994088
2023-07-17,81.16,81.64,80.92,81.29,16232309
2023-07-18,81.1,82.955,80.97,82.11,21607291
2023-07-19,82.11,83.15,81.93,82.59,18760482
2023-07-20,83.27,83.73,82.86,83.56,17724904
2023-07-21,83.87,84.34,83.33,84.3,15764505
2023-07-24,84.73,86.28,84.7,85.66,22269803
2023-07-25,85.62,86.61,85.1,86.11,16803262
2023-07-26,85.4,86.48,85.28,86.14,16394005
2023-07-27,86.61,86.96,85.35,85.59,17775303
2023-07-28,85.53,85.865,84.6,85.85,17318288
2023-07-31,86.6,87.73,86.35,87.48,18133239
2023-08-01,87.13,87.32,86.1341,87.07,17904641
2023-08-02,86.48,86.92,85.2,85.93,22961517
2023-08-03,86.16,87.58,85.69,86.8,20816983
2023-08-04,87.42,88.24,86.82,86.92,21604149
2023-08-07,87.41,87.59,86.7643,87.02,13410765
2023-08-08,85.61,87.485,84.965,87.45,18618558
2023-08-09,88.3,89.36,87.75,88.55,26042805
2023-08-10,88.68,89.69,87.94,88.54,19613252
2023-08-11,88.5,90.0,88.48,89.9,23344603
2023-08-14,89.65,89.89,88.92,89.52,15094733
2023-08-15,88.9,89.0,87.5,87.66,22491233
2023-08-16,87.75,88.7,86.84,86.9,18997729
