Date,Open,High,Low,Close,Volume,PriceMode
2023-06-27,31.2237365738,31.481310936,31.2046569914,31.4145323976,34348138,adjusted
2023-06-28,31.3763732329,31.3859130241,31.1952125981,31.3382140681,36663187,adjusted
2023-06-29,31.5003905184,31.8819821661,31.4622313536,31.8819821661,47470982,adjusted
2023-06-30,32.0918575723,32.2921931874,32.0346188252,32.1586361107,44762287,adjusted
2023-07-03,32.1586361107,32.4352900553,32.1109371547,32.3398921433,19127976,adjusted
2023-07-05,32.1490963195,32.3589717257,32.0536984076,32.273113605,39833482,adjusted
2023-07-06,32.0059994516,32.0346188252,31.7198057158,31.9964596604,45808350,adjusted
2023-07-07,31.8629025837,32.3112727698,31.8629025837,32.0441586164,33488663,adjusted
2023-07-10,32.048928512,32.3685115169,32.025079034,32.1872554842,27254400,adjusted
2023-07-11,32.3017329786,32.6070062967,32.2349544402,32.568847132,33754224,adjusted
2023-07-12,32.8359612854,33.0124474224,32.6880945219,32.7787225382,46546020,adjusted
2023-07-13,32.8264214942,32.9456688841,32.769182747,32.8932000325,40453681,adjusted
2023-07-14,33.1316948123,33.1412346035,32.6300925914,32.6737848351,47552728,adjusted
2023-07-17,32.6356256703,33.0839958564,32.6356256703,32.9885979444,38568886,adjusted
2023-07-18,33.064916274,33.3892691745,33.017217318,33.360649801,47176549,adjusted
2023-07-19,33.360649801,33.6373037455,33.3511100098,33.5037466688,45599818,adjusted
2023-07-20,33.4465079217,33.761321031,33.4321982349,33.7517812399,45591523,adjusted
2023-07-21,33.809019987,33.8280995694,33.5562155204,33.6373037455,30615721,adjusted
2023-07-24,33.6563833279,34.0665943492,33.6468435367,33.9616566461,32299794,adjusted
2023-07-25,33.8662587342,33.9425770637,33.7136220751,33.7422414487,36218637,adjusted
2023-07-26,33.7040822839,34.0475147668,33.6563833279,33.9425770637,35638715,adjusted
2023-07-27,33.9425770637,34.0284351844,33.4655875041,33.51328646,44072765,adjusted
2023-07-28,33.7804006134,33.7947103002,33.3988089657,33.5800649984,32427672,adjusted
2023-07-31,33.6468435367,33.809019987,33.560985416,33.7040822839,28627021,adjusted
2023-08-01,33.6373037455,33.7327016575,33.5228262512,33.7040822839,26495304,adjusted
2023-08-02,33.4178885481,33.537135938,33.2270927243,33.4178885481,48930438,adjusted
2023-08-03,33.2175529331,33.51328646,33.1221550211,33.4369681305,31871732,adjusted
2023-08-04,33.4083487569,33.7327016575,33.2700217846,33.3034110538,36195670,adjusted
2023-08-07,33.51328646,33.8280995694,33.5037466688,33.7708608222,33119338,adjusted
2023-08-08,33.3320304274,33.4904863591,33.0744560652,33.4655875041,37254806,adjusted
2023-08-09,33.4465079217,33.5419058336,33.1793937683,33.2175529331,38304216,adjusted
2023-08-10,33.3892691745,33.6373037455,33.1603141859,33.2461723066,38097502,adjusted
2023-08-11,33.1412346035,33.3701895921,33.0601463784,33.312950845,27518747,adjusted
2023-08-14,33.2175529331,33.312950845,33.0935356476,33.2461723066,23773797,adjusted
2023-08-15,32.9695183621,33.0029076312,32.5974665055,32.6356256703,57472072,adjusted
2023-08-16,32.5783869232,32.8311913898,32.5497675496,32.5879267143,33566495,adjusted
2023-08-17,32.6928644175,32.7405633734,32.3343590644,32.4257502641,38205391,adjusted
2023-08-18,32.1967952754,32.5116083848,32.1681759019,32.4162104729,40859959,adjusted
2023-08-21,32.4639094288,32.5259180716,32.1204769459,32.3780513081,32308259,adjusted
2023-08-22,32.3875910993,32.4257502641,32.0292765421,32.0727779899,43148858,adjusted
2023-08-23,32.1300167371,32.3971308905,32.0823177811,32.3875910993,30240536,adjusted
2023-08-24,32.3398921433,32.7310235822,32.273113605,32.273113605,35784853,adjusted
2023-08-25,32.4066706817,32.5497675496,32.1586361107,32.4257502641,40347163,adjusted
2023-08-28,32.5306879672,32.721483791,32.5020685936,32.6070062967,34905318,adjusted
2023-08-29,32.5783869232,32.9081775047,32.5306879672,32.9027398237,43394335,adjusted
2023-08-30,32.9504387797,33.1126152299,32.8550408677,32.9218194061,33799921,adjusted
2023-08-31,33.017217318,33.0219872136,32.7640312598,32.7978021206,27999689,adjusted
2023-09-01,32.9981377356,33.1945620363,32.9647484665,33.0935356476,41075673,adjusted
2023-09-05,33.0553764828,33.1889335595,32.7501031646,32.7596429558,38612307,adjusted
2023-09-06,32.6737848351,32.8073419118,32.5020685936,32.7405633734,35672799,adjusted
2023-09-07,32.6070062967,32.7978021206,32.5593073408,32.6547052527,47632630,adjusted
2023-09-08,32.6833246263,32.7882623294,32.5545374452,32.721483791,39742305,adjusted
2023-09-11,32.8741204501,33.0458366916,32.7885485231,32.8741204501,28965132,adjusted
2023-09-12,32.8645806589,33.3272605318,32.8216515986,33.0935356476,48615168,adjusted
2023-09-13,33.2461723066,33.2843314714,32.9647484665,33.0935356476,31994884,adjusted
2023-09-14,33.3224906362,33.4419288219,33.1555442903,33.3988089657,65685526,adjusted
2023-09-15,33.1793937683,33.4274283393,33.1603141859,33.2270927243,51800186,adjusted
2023-09-18,33.1836186417,33.3656829657,33.0782129804,33.3177713015,32458673,adjusted
2023-09-19,33.3465183,33.4088034635,33.0638394811,33.2794419701,36116798,adjusted
2023-09-20,33.3944299642,33.4998356255,33.039883649,33.0494659818,31617981,adjusted
2023-09-21,32.9344779877,32.9344779877,32.5032730097,32.5032730097,48106804,adjusted
2023-09-22,32.5511846739,32.5799316724,32.2541323557,32.2541323557,41688252,adjusted
2023-09-25,32.1870560258,32.3499556842,32.0816503645,32.3307910185,40141709,adjusted
2023-09-26,32.0912326973,32.23496769,31.8420920434,31.8995860404,46165433,adjusted
2023-09-27,31.985827036,31.985827036,31.5737867237,31.8516743762,49360881,adjusted
2023-09-28,31.8804213748,32.1966383586,31.8708390419,32.0816503645,63638085,adjusted
2023-09-29,32.23496769,32.2828793542,31.7079393835,31.7845980463,52860527,adjusted
2023-10-02,31.679192385,31.7558510478,31.3438107354,31.5162927267,49350601,adjusted
2023-10-03,31.3629754011,31.4444252303,30.8934410917,31.0180114187,52921754,adjusted
2023-10-04,31.0275937516,31.2671520727,30.8646940932,31.247987407,40136047,adjusted
2023-10-05,31.1617464114,31.4492163967,31.0946700815,31.3917223997,41407826,adjusted
2023-10-06,31.2575697398,31.837300877,31.1521640785,31.6600277193,54057834,adjusted
2023-10-09,31.372557734,31.7462687149,31.3438107354,31.679192385,61396589,adjusted
2023-10-10,31.7750157135,32.110397363,31.7654333806,31.9091683733,44743354,adjusted
2023-10-11,32.0049917017,32.1343531951,31.7175217164,31.9570800375,35746363,adjusted
2023-10-12,32.052903366,32.052903366,31.5354573923,31.7558510478,41991169,adjusted
2023-10-13,31.9570800375,32.2493411893,31.6504453865,31.8229273777,53216513,adjusted
2023-10-16,32.0624856988,32.3116263528,31.9906182025,32.1583090273,45589267,adjusted
