Date,Open,High,Low,Close,Volume,PriceMode
2023-04-11,69.5900706578,69.857370267,69.5347672904,69.663808481,12944305,adjusted
2023-04-12,69.6545912531,69.8850219507,69.2582504533,69.3504227324,10386357,adjusted
2023-04-13,69.3780744161,69.7744152158,69.0554714395,69.7375463042,12918992,adjusted
2023-04-14,69.5532017462,69.857370267,69.106166193,69.2951193649,8789738,adjusted
2023-04-17,69.4333777835,69.7421549182,69.3504227324,69.7375463042,9675587,adjusted
2023-04-18,69.7283290763,70.0140631413,69.5025069927,69.949542546,7233258,adjusted
2023-04-19,70.0324975971,70.1062354203,69.6960687787,69.9034564065,6283769,adjusted
2023-04-20,69.6545912531,70.2905799783,69.6177223415,70.0693665087,7329495,adjusted
2023-04-21,70.5394451317,70.9450031594,70.4242297829,70.5763140433,10431036,adjusted
2023-04-24,70.5763140433,70.9035256338,70.5763140433,70.8620481082,8723122,adjusted
2023-04-25,70.8436136524,71.3136922754,70.6915293921,70.7698758292,12179666,adjusted
2023-04-26,70.4380556248,70.7099638479,70.1799732435,70.2168421551,8771878,adjusted
2023-04-27,70.2537110667,71.0698044251,70.2076249272,71.0003065268,11287817,adjusted
2023-04-28,71.1846510848,71.5118626753,71.0095237547,71.3782128707,9757821,adjusted
2023-05-01,71.258388908,71.728467531,71.2399544522,71.4335162381,10860790,adjusted
2023-05-02,71.3689956428,71.4058645544,70.5210106759,71.2399544522,19136005,adjusted
2023-05-03,71.0279582105,71.3229095033,70.6362260246,70.6592690944,11656658,adjusted
2023-05-04,70.7330069176,70.8436136524,70.2583196807,70.4841417643,11682633,adjusted
2023-05-05,70.5947484991,71.1892596987,70.511793448,71.1385649453,10479429,adjusted
2023-05-08,70.8896997919,71.0187409826,70.6915293921,70.9265687035,8069277,adjusted
2023-05-09,70.9357859314,70.9357859314,70.5763140433,70.7053552339,6939661,adjusted
2023-05-10,70.7237896897,71.0279582105,70.1016268063,70.5947484991,12259129,adjusted
2023-05-11,70.5763140433,70.8528308803,70.1891904714,70.8067447408,11790844,adjusted
2023-05-12,70.880482564,71.1063046476,70.7283983037,71.0832615779,7012238,adjusted
2023-05-15,71.1938683127,71.2860405917,70.5947484991,70.9081342477,8652296,adjusted
2023-05-16,70.8067447408,70.8067447408,70.2076249272,70.3090144341,11310742,adjusted
2023-05-17,70.4933589922,70.5025762201,69.8389358111,70.2721455225,10891385,adjusted
2023-05-18,70.0140631413,70.1062354203,69.5071156067,69.9311080902,10765464,adjusted
2023-05-19,70.0785837366,70.1615387877,69.668417095,69.9771942297,10457604,adjusted
2023-05-22,69.7928496716,69.9126736344,68.8803441094,68.917213021,14575843,adjusted
2023-05-23,68.7328684629,68.7881718304,68.3180932074,68.4102654864,13700364,adjusted
2023-05-24,68.4379171701,68.4840033096,67.9125351797,67.9678385471,11901922,adjusted
2023-05-25,67.3687187335,67.695930324,66.94472625,67.4516737846,17725020,adjusted
2023-05-26,67.3871531893,67.788102603,67.1567224918,67.6821044822,15531023,adjusted
2023-05-30,67.287607128,67.4516737846,66.6866438688,66.9078573384,22766942,adjusted
2023-05-31,66.9908123895,67.3502842777,66.6497749572,66.9815951616,19561033,adjusted
2023-06-01,66.9631607058,67.036898529,66.5887569085,66.9262917942,13836271,adjusted
2023-06-02,66.9539434779,67.8941007239,66.9355090221,67.8480145844,14719938,adjusted
2023-06-05,67.7466250775,68.2351381563,67.4793254683,67.599149431,9629600,adjusted
2023-06-06,67.6636700263,67.792711217,66.8709884268,67.2581119987,10796878,adjusted
2023-06-07,66.8249022873,67.2212430871,66.6221232735,67.036898529,13595054,adjusted
2023-06-08,67.1106363522,67.5161943799,66.9539434779,67.4977599241,8881493,adjusted
2023-06-09,67.2673292266,67.599149431,67.1244621941,67.3871531893,8756867,adjusted
2023-06-12,67.4701082404,67.5300202218,67.0276813011,67.3687187335,11357589,adjusted
2023-06-13,67.2765464545,67.7466250775,67.1843741755,67.6452355705,8401878,adjusted
2023-06-14,67.9586213192,68.2904415237,67.7558423054,68.0600108261,13849869,adjusted
2023-06-15,68.2996587516,68.9033871791,68.1706175609,68.7420856908,16251166,adjusted
2023-06-16,68.9540819326,69.1752954022,68.7605201466,68.825040742,12672971,adjusted
2023-06-20,68.7415197959,68.9503900451,68.2866468087,68.3052130531,9734494,adjusted
2023-06-21,68.2680805644,68.7693691625,68.0081531431,68.54657423,13633481,adjusted
2023-06-22,68.8993328731,69.043221267,68.6765379406,68.945748484,17247792,adjusted
2023-06-23,69.0571459503,69.0571459503,68.4537430081,68.4908754968,9706948,adjusted
2023-06-26,68.4908754968,68.6115560853,68.0081531431,68.5837067187,8955380,adjusted
2023-06-27,68.398044275,68.848275701,68.381334655,68.7879354068,8965423,adjusted
2023-06-28,68.4723092525,68.5187248634,67.95245441,68.3237792975,12800400,adjusted
2023-06-29,67.9895868987,68.3701949084,67.7667919662,68.2587974422,10018069,adjusted
2023-06-30,68.4166105193,68.9550316062,68.3609117862,68.8529172621,14266285,adjusted
2023-07-03,68.7508029181,69.391338349,68.5651404743,69.391338349,12817093,adjusted
2023-07-05,69.1035615612,69.3356396159,69.0153719004,69.2706577606,17579383,adjusted
2023-07-06,68.9550316062,69.1314109278,68.7415197959,69.094278439,14881308,adjusted
2023-07-07,68.9271822396,68.9271822396,68.1473999759,68.1938155869,16405514,adjusted
2023-07-10,68.2959299309,68.84363414,68.0917012428,68.1752493425,11953673,adjusted
2023-07-11,68.2309480756,68.3794780306,67.8642647492,68.2773636865,9812583,adjusted
2023-07-12,68.398044275,68.6161976464,68.2820052476,68.4351767637,12680948,adjusted
2023-07-13,68.5558573522,68.84363414,68.2773636865,68.7229535515,10581587,adjusted
2023-07-14,68.7415197959,69.0757121946,68.5372911078,68.9550316062,12475686,adjusted
2023-07-17,68.695104185,68.9828809728,68.500158619,68.7508029181,9496427,adjusted
2023-07-18,68.6858210628,69.2613746384,68.4630261303,68.6765379406,10124923,adjusted
2023-07-19,68.8993328731,69.4470370821,68.8529172621,69.3727721046,14718653,adjusted
2023-07-20,69.4377539599,70.0643647076,69.2892240049,69.9668919246,16106336,adjusted
2023-07-21,70.0782893908,70.3989284312,69.9947412912,70.2082531015,13836903,adjusted
