Date,Open,High,Low,Close,Volume,PriceMode
2025-03-06,23.804619955,24.0148574656,23.7759512035,23.8873770842,1296772,adjusted
2025-03-07,23.9288512113,24.3397699821,23.470151188,23.8524012074,564647,adjusted
2025-03-10,23.8906262093,23.8906262093,23.50837619,23.6039386948,459106,adjusted
2025-03-11,23.7568387025,23.766394953,23.6131126953,23.6421636967,659492,adjusted
2025-03-12,23.6899449492,23.6899449492,23.50837619,23.5800480686,218973,adjusted
2025-03-13,23.5274886909,23.6182730705,23.4223699356,23.5896043191,169295,adjusted
2025-03-14,23.6326074463,23.804619955,23.6326074463,23.7950637045,230802,adjusted
2025-03-17,23.8906262093,24.0148574656,23.8715137083,23.9957449646,188038,adjusted
2025-03-18,24.0053012151,24.0053012151,23.8810699588,23.9622980879,175109,adjusted
2025-03-19,23.9766324637,24.1677574733,23.924073086,24.1486449724,289281,adjusted
2025-03-20,24.1964262248,24.1964262248,24.0339699666,24.0721949685,243737,adjusted
2025-03-21,24.0721949685,24.0721949685,23.9470080872,23.9766324637,109765,adjusted
2025-03-24,24.0435262171,24.0435262171,23.9385030242,23.9670762132,117226,adjusted
2025-03-25,23.9766324637,24.0148574656,23.9766324637,24.0053012151,97802,adjusted
2025-03-26,24.0148574656,24.0148574656,23.8332887064,23.8524012074,245671,adjusted
2025-03-27,23.8524012074,23.9288512113,23.8291795187,23.9192949608,1227549,adjusted
2025-03-28,23.9288512113,23.9670762132,23.8906262093,23.9288512113,281333,adjusted
2025-03-31,23.9957449646,24.0530824675,23.9097387103,24.0435262171,168376,adjusted
2025-04-01,24.0530824675,24.2518524776,24.0530824675,24.1677574733,338987,adjusted
2025-04-02,24.2633199782,24.2919887296,24.2155387258,24.2824324792,252334,adjusted
2025-04-03,24.2824324792,24.2900774795,24.10086372,24.1104199704,363354,adjusted
2025-04-04,23.9192949608,23.943185587,22.9636699124,22.9923386638,915773,adjusted
2025-04-07,22.4571886368,23.0305636658,22.3711823824,22.4763011377,434327,adjusted
2025-04-08,22.7152073998,22.7152073998,22.0844948679,22.1513886213,323578,adjusted
2025-04-09,21.9698198621,23.2503574269,21.9698198621,23.2408011764,643627,adjusted
2025-04-10,22.4667448872,22.9318475983,22.1131636193,22.4954136387,380246,adjusted
2025-04-11,22.7821011532,23.0018949143,22.5431948911,23.0018949143,432796,adjusted
2025-04-14,23.2503574269,23.2503574269,22.906427972,23.0687886677,156575,adjusted
2025-04-15,23.1834636735,23.1834636735,23.0687886677,23.1165699201,619590,adjusted
2025-04-16,23.2694699279,23.3459199317,23.2025761745,23.2790261784,156334,adjusted
2025-04-17,23.4128136851,23.4319261861,23.3172511803,23.3745886832,140106,adjusted
2025-04-21,23.4510386871,23.460499375,23.1643511726,23.2790261784,179024,adjusted
2025-04-22,23.6421636967,23.6421636967,23.3559539948,23.4414824366,217590,adjusted
2025-04-23,23.6899449492,23.7281699511,23.4448271243,23.4797074385,221088,adjusted
2025-04-24,23.6708324482,23.8715137083,23.6326074463,23.8715137083,101001,adjusted
2025-04-25,23.9288512113,23.9288512113,23.7422176393,23.9097387103,130016,adjusted
2025-04-28,23.9192949608,24.0638810306,23.8593772702,24.062638718,194068,adjusted
2025-04-29,24.081751219,24.1104199704,24.0244137161,24.1104199704,123236,adjusted
2025-04-30,24.1104199704,24.1104199704,23.8730427084,24.10086372,97350,adjusted
2025-05-01,24.0913074695,24.0913074695,23.8332887064,23.8953087721,119832,adjusted
2025-05-02,24.0244137161,24.0333965915,23.9288512113,23.9670762132,102889,adjusted
2025-05-05,23.9670762132,24.0339699666,23.9436633995,23.9957449646,76326,adjusted
2025-05-06,24.0005230899,24.1295324714,23.9192949608,24.1152936582,100514,adjusted
2025-05-07,24.1104199704,24.1677574733,24.081751219,24.1199762209,118852,adjusted
