Date,Open,High,Low,Close,Volume,PriceMode
2023-08-22,376.9322397299,377.2681522519,368.779162945,369.7053217557,1664375,adjusted
2023-08-23,369.6669317532,379.7347099137,369.6669317532,378.4102548268,1582187,adjusted
2023-08-24,374.6768270819,376.3179996896,370.3099642954,371.0777643458,1380013,adjusted
2023-08-25,372.574974444,376.2556159355,370.6746693193,374.5040720706,1099939,adjusted
2023-08-28,377.0953972406,380.0609289601,375.7230506255,378.8037523527,1247178,adjusted
2023-08-29,378.3334748218,389.2938205409,377.4409072632,387.8350004452,1875662,adjusted
2023-08-30,387.6142579307,398.8625286687,387.2159616546,396.6359085226,1815610,adjusted
2023-08-31,397.3845135717,400.4893050254,394.1501558595,394.3996908759,1515564,adjusted
2023-09-01,397.9795586107,402.5191764086,397.8931811051,402.0393013771,1249731,adjusted
2023-09-05,403.958801503,406.3100931823,397.2021610597,397.7492185956,1474085,adjusted
2023-09-06,395.5321959502,399.6687187216,394.111765857,397.6148535868,1002557,adjusted
2023-09-07,394.6108358897,398.7089686586,389.0778767767,395.1578934256,1028834,adjusted
2023-09-08,394.9371509111,396.5495310169,382.9930613775,383.5737101656,1838748,adjusted
2023-09-11,387.0672003948,387.7390254389,381.6926000422,384.2551327103,1428265,adjusted
2023-09-12,383.3337726499,389.3801980466,383.2282001429,386.0690603293,1127762,adjusted
2023-09-13,385.6659653029,390.5240281716,383.5929051669,386.0402678274,1104362,adjusted
2023-09-14,389.9368530831,395.5609884521,388.82354301,395.1099059225,1272434,adjusted
2023-09-15,395.2154784294,398.1715086233,392.5185807525,395.5225984496,1986245,adjusted
2023-09-18,394.3996908759,396.9526260434,391.1077481599,394.3037158696,969344,adjusted
2023-09-19,386.3857778501,387.6910379357,382.3740225869,382.6427526045,1957836,adjusted
2023-09-20,385.5603927959,392.6817382632,383.4681376587,386.1362428337,1289769,adjusted
2023-09-21,382.9690676259,383.6216976688,370.501914308,372.0375144087,2209999,adjusted
2023-09-22,366.3653915366,368.1169354015,362.3728312747,365.5400064824,2412180,adjusted
2023-09-25,363.7836638672,369.7053217557,363.1310338244,368.9183267041,1383569,adjusted
2023-09-26,362.7855238017,366.4949577951,362.0561137539,364.3499164044,1270471,adjusted
2023-09-27,366.4037815391,370.8090343281,364.9593576944,368.8895342022,1403883,adjusted
2023-09-28,369.8372283296,374.768391374,368.8741105475,370.5403043105,1309308,adjusted
2023-09-29,369.5771865284,372.7073193202,361.8626130937,363.461388612,2124313,adjusted
2023-10-02,365.2046317976,366.5915214039,356.8832941602,360.0519516633,1989775,adjusted
2023-10-03,358.6746932349,360.0615828412,356.8351382711,359.0310468143,1212337,adjusted
2023-10-04,358.6457997015,364.6171299505,356.5076782252,363.0954038548,1219051,adjusted
2023-10-05,361.8529819159,364.8771717517,359.4355562828,361.8337195602,997211,adjusted
2023-10-06,359.6667045505,367.7954186315,358.5880126345,364.5786052393,1203467,adjusted
2023-10-09,364.4726622832,369.7409165514,363.6058562793,368.8163234805,831227,adjusted
2023-10-10,372.0523992284,377.4940146973,371.8886692055,376.4249539592,1317365,adjusted
2023-10-11,376.9450375615,378.0140982997,373.0925664331,374.9995396417,942613,adjusted
2023-10-12,375.4233114658,376.5790528043,363.9236851474,368.1806657443,1375426,adjusted
2023-10-13,368.8741105475,371.590102693,364.7904911513,366.6204149373,1074244,adjusted
2023-10-16,370.7521902226,378.1007789001,369.8901998076,376.1360186246,1202806,adjusted
2023-10-17,374.5565054619,380.7300904452,373.7089618136,376.6946269382,899864,adjusted
2023-10-18,374.0364218596,375.9915509572,364.0825995815,368.1325098552,1495038,adjusted
2023-10-19,367.5642703638,372.1198174732,366.2255366467,367.3042285626,1348063,adjusted
2023-10-20,366.3603731362,368.305871056,360.9958070898,361.3136359579,1468239,adjusted
2023-10-23,359.4451874606,366.1966431132,357.7789936976,359.5029745275,1308132,adjusted
2023-10-24,361.8240883824,363.9064453391,357.8801210647,359.7919098622,899080,adjusted
2023-10-25,358.510963212,362.1226548949,357.3648530513,358.1931343439,773913,adjusted
2023-10-26,357.3166971622,360.9768336695,355.8431269555,355.9105452003,1124933,adjusted
2023-10-27,355.3904615979,356.247636424,345.5666602204,347.8299870084,1436436,adjusted
2023-10-30,351.7595075594,355.7179216439,348.3259926662,354.2347202594,1277508,adjusted
