Date,Open,High,Low,Close,Volume,PriceMode
2023-08-23,392.2443016805,394.8476713288,391.3503143673,394.0028041976,1943221,adjusted
2023-08-24,394.5234781273,396.8910709017,390.5054472362,390.6724558552,1970016,adjusted
2023-08-25,393.6000187049,397.500161159,391.9790526975,395.8006028604,2154774,adjusted
2023-08-28,396.8910709017,400.6242047369,396.056027807,400.2705394262,1901274,adjusted
2023-08-29,400.2508913534,404.9369567202,399.4354963315,404.4064587542,2188937,adjusted
2023-08-30,407.48138215,410.4256458617,406.2435535626,406.6266909825,2516721,adjusted
2023-08-31,406.9214120748,408.9648116477,404.5341712275,405.3790383586,2535134,adjusted
2023-09-01,406.5579227276,409.1809404487,405.2316778125,408.2574810263,1841670,adjusted
2023-09-05,406.0765449436,408.0904724074,402.4907716545,404.2590982081,2045555,adjusted
2023-09-06,403.5517675867,406.1060170529,401.6950247055,405.9095363247,2292121,adjusted
2023-09-07,404.6717077372,408.8076270652,404.4850510455,407.3241975675,2502686,adjusted
2023-09-08,407.697510951,409.0041077933,406.5726587823,407.5403263685,1869468,adjusted
2023-09-11,409.5149576866,410.2419363808,407.3389336221,409.3577731041,1544746,adjusted
2023-09-12,408.6307944098,410.2959685811,407.9431118612,408.9451635749,1997630,adjusted
2023-09-13,408.8469232108,411.0475073663,407.6680388418,408.9746356841,2142220,adjusted
2023-09-14,410.9394429658,411.2341640581,400.6046549045,406.0667209072,3557785,adjusted
2023-09-15,404.6127635188,410.9394429658,403.9054328974,407.0196524388,4755526,adjusted
2023-09-18,406.5972188733,410.5330225796,405.7675789986,409.790030706,1808118,adjusted
2023-09-19,409.6230220871,409.7605585968,403.8661367517,406.253377599,1731089,adjusted
2023-09-20,406.4891544728,408.5325540457,402.8640850381,403.29634264,1580643,adjusted
2023-09-21,401.154702703,401.5771362686,395.0245039841,396.2623325716,2451064,adjusted
2023-09-22,397.2742083216,399.6909212781,394.4940060181,395.142392421,1885064,adjusted
2023-09-25,393.5508985228,396.1345218579,392.8042717558,395.407641404,1846580,adjusted
2023-09-26,392.9614563383,393.7964994331,386.6838970733,388.4227515176,2940561,adjusted
2023-09-27,389.2381465395,390.0435210443,384.5913773183,388.5209918817,1987457,adjusted
2023-09-28,388.864833156,394.2877012535,388.408015463,392.4113102995,2216244,adjusted
2023-09-29,394.9557357293,395.1030962754,387.3126354035,388.9434254473,3032386,adjusted
2023-10-02,386.6740730369,389.3805950675,385.5396915528,388.8844812288,2856776,adjusted
2023-10-03,387.5582363137,390.8591125469,382.1255441798,384.1787677892,2528120,adjusted
2023-10-04,385.1022272116,387.5287642045,381.7424067599,386.8312576195,1813405,adjusted
2023-10-05,384.0751152333,388.3350738618,383.6914238095,387.8234852967,2116563,adjusted
2023-10-06,386.869175858,394.5134896093,384.1833358913,391.5325023935,2484148,adjusted
2023-10-09,388.0792795792,390.086280873,383.2782176608,388.3547503451,2475166,adjusted
2023-10-10,389.141809676,396.2007480499,387.4791468394,393.8936803862,2713818,adjusted
2023-10-11,396.7270939774,398.576683405,390.9323696537,393.3427388546,2055776,adjusted
2023-10-12,397.2681972674,398.7832864794,390.8930166872,393.4312830293,1779046,adjusted
2023-10-13,392.358914691,395.6350491558,388.6892505607,391.5915318434,2235682,adjusted
2023-10-16,393.7657832449,397.8880064905,392.3293999661,394.6709014755,2202218,adjusted
2023-10-17,393.1754887468,397.0812706763,392.0047379921,395.2710342153,2176027,adjusted
2023-10-18,392.6540619401,394.8775045498,386.2100136684,386.8494993747,1951454,adjusted
2023-10-19,387.4791468394,388.4432945198,379.2642150733,381.595878341,3473009,adjusted
2023-10-20,381.595878341,383.6815855679,377.9557289357,378.1918467349,2652548,adjusted
2023-10-23,376.1258159913,381.5860400994,374.837006337,377.4638168539,1771977,adjusted
2023-10-24,379.2642150733,383.1306440363,377.6605816866,380.651407144,2003266,adjusted
2023-10-25,377.7884788278,382.3435847054,376.0569482999,380.0611126458,3504548,adjusted
2023-10-26,365.0184411841,369.4751646453,357.1675243585,358.6924518121,6920077,adjusted
2023-10-27,360.561717723,362.3276820966,353.9504193435,358.1907014887,3624883,adjusted
2023-10-30,360.5912324479,367.1926925857,358.8203489534,366.3957950132,3386593,adjusted
2023-10-31,367.2812367604,371.5707101138,367.0746336861,370.2622239762,2978827,adjusted
2023-11-01,372.5446960358,374.2467118388,368.9734143219,371.7084454967,2354844,adjusted
2023-11-02,374.1483294225,376.8440076308,372.3626885655,376.4996691735,2816034,adjusted
2023-11-03,378.7723029915,382.1566581143,377.5228463037,379.8053183633,2269147,adjusted
2023-11-06,380.838333735,381.9697315232,377.9901627814,379.9135390213,2020512,adjusted
2023-11-07,379.7561271551,383.2880559024,378.0836260769,382.5797025046,2324356,adjusted
2023-11-08,380.8481719767,385.0392629137,380.7399513187,383.3962765604,2838414,adjusted
2023-11-09,384.6358950066,385.1179688468,381.000664722,381.6844225158,2657074,adjusted
2023-11-10,383.7307767761,388.6963340947,380.4841570361,388.0005736462,2807108,adjusted
2023-11-13,387.9710589213,389.2303538507,386.6650323441,387.9710589213,1614631,adjusted
2023-11-14,390.7552813043,395.1775709197,390.3322369139,391.2176786612,2734045,adjusted
2023-11-15,391.0405903117,392.8213120479,388.3744268283,390.410942847,2434711,adjusted
2023-11-16,391.5718553601,393.4804742375,389.1467287968,390.6765753712,3060610,adjusted
2023-11-17,393.5001507208,394.6315485089,391.4734729437,393.8248126948,2365689,adjusted
2023-11-20,394.2380188435,398.6455510965,391.817811401,397.8584917656,2768775,adjusted
2023-11-21,399.1571396615,403.7073264183,399.1276249366,402.33489171,2567692,adjusted
2023-11-22,405.5913496916,406.1718059481,403.5105615855,403.6925690558,1968107,adjusted
2023-11-24,405.8176292492,406.2898648477,403.8893338885,405.8274674908,1053479,adjusted
2023-11-27,404.3517312454,406.0439088068,401.6462147955,402.3545681933,2665981,adjusted
2023-11-28,402.4627888513,403.9975545465,400.8689937062,402.3939211598,2645103,adjusted
2023-11-29,404.3615694871,405.4167209025,402.7972890669,403.1908187324,2151396,adjusted
2023-11-30,403.4662894982,407.4606156024,402.1676416022,407.1359536285,3203556,adjusted
2023-12-01,406.2111589147,409.8611465617,404.9125110187,407.6573804352,2171558,adjusted
