Date,Open,High,Low,Close,Volume,PriceMode
2023-08-22,75.3868784489,75.3868784489,74.4983575243,74.5349975624,40154,adjusted
2023-08-23,74.6449176768,75.0662781153,74.3792774004,74.9563580009,84282,adjusted
2023-08-24,74.6815577149,74.9013979437,74.3517973718,74.4433974671,40036,adjusted
2023-08-25,74.8189578579,74.9471979913,74.1277435386,74.7365177721,53993,adjusted
2023-08-28,74.9288779723,75.8274749074,74.9288779723,75.5151185823,90099,adjusted
2023-08-29,75.4601585251,76.7608798787,75.3978704603,76.7425598596,40285,adjusted
2023-08-30,76.6326397452,76.9897885169,76.6326397452,76.852479974,36731,adjusted
2023-08-31,77.0082001361,77.0998002314,76.5685196785,76.5685196785,31337,adjusted
2023-09-01,77.1547602886,77.4936806413,76.9166000407,77.2097203458,27486,adjusted
2023-09-05,77.2188803553,77.4295605745,76.3761594783,76.4311195355,37950,adjusted
2023-09-06,76.2479193449,76.3395194402,75.3227583822,75.6616787348,59035,adjusted
2023-09-07,75.3502384108,75.423518487,74.5395775672,74.9380379818,60539,adjusted
2023-09-08,74.8830779246,75.0638965128,74.5076091339,74.5991176291,41226,adjusted
2023-09-11,75.2311582868,75.5425986109,75.052538101,75.1395581915,49474,adjusted
2023-09-12,75.1120781629,75.6133138845,74.9899752359,75.4418385061,29411,adjusted
2023-09-13,75.3319183917,75.4690437344,74.7090377435,74.8922379342,42279,adjusted
2023-09-14,75.4051984679,76.128839221,75.4051984679,76.0372391257,29523,adjusted
2023-09-15,75.8265589064,76.0372391257,75.4784785442,75.5700786395,59399,adjusted
2023-09-18,75.4784785442,75.4784785442,74.9288779723,74.9838380295,31963,adjusted
2023-09-19,74.8189578579,75.0107684575,74.5258375529,74.855597896,35010,adjusted
2023-09-20,75.1029181534,75.6708387444,74.4626334871,74.4983575243,65736,adjusted
2023-09-21,73.9579169619,73.9762369809,73.3991563804,73.4632764472,52129,adjusted
2023-09-22,73.6098365997,73.6098365997,72.7762757322,72.858715818,83829,adjusted
2023-09-25,72.1259150555,72.7121556655,72.0709549983,72.7121556655,49755,adjusted
2023-09-26,72.1167550459,72.5472754939,71.8877548076,71.997674922,77688,adjusted
2023-09-27,72.272475208,72.2816352175,71.4663943692,71.8236347409,75649,adjusted
2023-09-28,71.7961547123,72.42819537,71.7961547123,72.2541551889,27433,adjusted
2023-09-29,72.9045158657,72.9228358848,71.8970064173,72.0892750173,25962,adjusted
2023-10-02,71.7595146742,71.7595146742,70.4816933445,70.7244335971,73684,adjusted
2023-10-03,70.000792844,70.2297930823,69.3962322149,69.5153123388,79084,adjusted
2023-10-04,69.6343924627,69.790295825,68.9931917955,69.570272396,107966,adjusted
2023-10-05,69.551952377,69.7901126248,69.1763919861,69.4878323102,115002,adjusted
