Date,Open,High,Low,Close,Volume,PriceMode
2023-08-21,5.6065035337,5.6786049095,5.571695973,5.6686598922,1104824,adjusted
2023-08-22,5.718384979,5.718384979,5.6089897881,5.6191834308,1157832,adjusted
2023-08-23,5.6562286205,5.7034674529,5.586613499,5.6089897881,2419364,adjusted
2023-08-24,5.733302505,5.7631375571,5.6288798228,5.6363385858,1913312,adjusted
2023-08-25,5.594072262,5.6288798228,5.5493196839,5.5990447707,1475088,adjusted
2023-08-28,5.6065035337,5.6065035337,5.5542921926,5.6065035337,1161708,adjusted
2023-08-29,5.5493196839,5.6810911639,5.5443471753,5.6810911639,701400,adjusted
2023-08-30,5.601531025,5.6338523314,5.5692097186,5.5915860077,1084416,adjusted
2023-08-31,5.579154736,5.5836299938,5.5418609209,5.5692097186,633200,adjusted
2023-09-01,5.5692097186,5.594072262,5.4722457994,5.5194846319,478400,adjusted
2023-09-05,5.5120258689,5.5120258689,5.3727956259,5.3802543889,1490376,adjusted
2023-09-06,5.4274932213,5.4274932213,5.3330155565,5.3404743195,2452804,adjusted
2023-09-07,5.3404743195,5.4026306779,5.304672257,5.3081530131,1109656,adjusted
2023-09-08,5.3330155565,5.3877131519,5.3081530131,5.3404743195,1359320,adjusted
2023-09-11,5.5915860077,5.6413110945,5.5766684817,5.6413110945,1956308,adjusted
2023-09-12,5.7059537073,5.733302505,5.6810911639,5.7109262159,2570572,adjusted
2023-09-13,5.5816409903,5.6462836031,5.5543170552,5.6239073141,726688,adjusted
2023-09-14,5.594072262,5.6935224356,5.5368884122,5.6810911639,6044124,adjusted
2023-09-15,5.6487698575,5.6636873835,5.5393746666,5.5443471753,1680284,adjusted
2023-09-18,5.4623007821,5.5542921926,5.4573282734,5.4971083428,1708336,adjusted
2023-09-19,5.4697595451,5.4896495798,5.3877131519,5.4125756953,1452376,adjusted
2023-09-20,5.4374382387,5.4548420191,5.3703093715,5.3777681346,927832,adjusted
2023-09-21,5.2360516373,5.2360516373,5.1589777528,5.1639502614,1207932,adjusted
2023-09-22,5.1639502614,5.270859198,5.1216839377,5.1962715678,870688,adjusted
2023-09-25,5.3006942501,5.3852268976,5.2982079957,5.3852268976,1149288,adjusted
2023-09-26,5.2236203656,5.3081530131,5.2236203656,5.2509691633,695000,adjusted
2023-09-27,5.255941672,5.3454468282,5.255941672,5.3081530131,801824,adjusted
2023-09-28,5.1987578222,5.3056667587,5.1987578222,5.3056667587,981636,adjusted
2023-09-29,5.2211341112,5.3429605738,5.2161616025,5.2335653829,1058136,adjusted
2023-10-02,5.1962715678,5.1962715678,5.0968213943,5.1490327354,765584,adjusted
2023-10-03,5.0819038683,5.124170192,5.0543064451,5.0794176139,1022132,adjusted
2023-10-04,5.0719588509,5.1291427007,5.0346650358,5.1266564464,1319780,adjusted
2023-10-05,5.0918488856,5.09433514,5.0048299838,5.0669863422,834852,adjusted
2023-10-06,5.0147750011,5.1366014637,5.0147750011,5.1266564464,1034376,adjusted
2023-10-09,5.0968213943,5.1540052441,5.0073162381,5.1440602267,624984,adjusted
2023-10-10,5.1738952788,5.3031805044,5.1738952788,5.2795610882,1295004,adjusted
2023-10-11,5.3504193368,5.4026306779,5.3504193368,5.3852268976,604520,adjusted
2023-10-12,5.3877131519,5.4150619496,5.2882878409,5.3131255218,543728,adjusted
