Date,Open,High,Low,Close,Volume,PriceMode
2026-07-10,170.0,177.0,166.19,168.01,107674700,adjusted
2026-07-13,152.62,162.28,151.3,152.35,57284314,adjusted
2026-07-14,168.11,194.8,165.5,193.92,72647673,adjusted
2026-07-15,181.81,187.9499,166.48,176.46,76307659,adjusted
2026-07-16,165.91,168.2,151.38,152.31,56250532,adjusted
2026-07-17,152.11,167.37,145.5701,154.03,73978314,adjusted
2026-07-20,163.42,163.43,149.74,151.16,37817454,adjusted
2026-07-21,161.75,173.2199,160.54,171.94,38925608,adjusted
2026-07-22,162.161,170.09,162.0,165.27,27122764,adjusted
2026-07-23,170.715,177.93,167.02,169.5,36234862,adjusted
2026-07-24,163.905,164.2,153.1001,154.57,26255531,adjusted
2026-07-27,159.7,159.71,139.01,143.02,50747385,adjusted
2026-07-28,135.91,136.49,128.2901,130.17,51088282,adjusted
2026-07-29,129.95,137.19,124.8001,126.79,65810026,adjusted
2026-07-30,136.51,150.356,134.5,149.0,52881239,adjusted
2026-07-31,159.875,162.65,143.51,143.73,46065093,adjusted
2026-08-03,139.92,144.17,134.58,142.72,29619616,adjusted
2026-08-04,150.18,155.47,146.7,154.38,34369841,adjusted
2026-08-05,150.22,155.95,149.84,151.03,19976971,adjusted
2026-08-06,139.0,147.24,137.71,143.53,22257450,adjusted
2026-08-07,143.48,143.649,133.8,137.91,34377430,adjusted
2026-08-10,135.025,139.08,134.28,135.29,17486223,adjusted
2026-08-11,139.215,141.87,137.33,141.65,17091023,adjusted
2026-08-12,150.7,155.155,147.2604,154.41,25793207,adjusted
2026-08-13,154.13,168.4999,153.41,165.67,32480162,adjusted
2026-08-14,169.315,171.58,163.7614,166.33,20684835,adjusted
2026-08-17,172.6,178.43,169.565,171.38,24223250,adjusted
2026-08-18,161.78,163.88,154.5302,155.62,22821889,adjusted
2026-08-19,162.78,163.7999,155.62,156.16,33980112,adjusted
2026-08-20,162.073,166.39,160.13,163.08,21693022,adjusted
2026-08-21,167.05,167.46,162.57,163.41,15475656,adjusted
2026-08-24,157.37,157.552,151.5,155.37,16711141,adjusted
2026-08-25,159.9,161.2,156.24,159.53,12287274,adjusted
2026-08-26,158.605,161.21,157.59,158.02,10327401,adjusted
2026-08-27,163.875,164.73,158.61,161.61,13393960,adjusted
2026-08-28,159.2,163.56,157.97,161.04,11711980,adjusted
2026-08-31,160.745,165.07,160.5,164.58,12183251,adjusted
2026-09-01,161.495,164.035,158.52,160.78,10875746,adjusted
2026-09-02,159.765,165.47,158.67,164.98,11261939,adjusted
2026-09-03,160.815,164.6252,157.73,163.68,14757656,adjusted
2026-09-04,164.61,177.6999,164.61,177.0,20803242,adjusted
2026-09-08,184.67,189.815,183.96,185.55,23156303,adjusted
2026-09-09,188.08,199.865,187.53,198.63,30460289,adjusted
2026-09-10,189.43,193.5466,187.17,188.3,22099444,adjusted
2026-09-11,192.94,192.94,187.0,190.07,14934632,adjusted
2026-09-14,174.93,179.9,174.59,175.63,20965177,adjusted
2026-09-15,179.25,181.29,172.23,174.83,14158637,adjusted
2026-09-16,180.34,180.66,172.78,174.87,15889443,adjusted
