Date,Open,High,Low,Close,Volume,PriceMode
2023-08-28,56.5568488404,56.8691019741,56.5373330195,56.7282953266,15764,adjusted
2023-08-29,56.7617649594,57.0120553619,56.5666067508,57.0057127201,15246,adjusted
2023-08-30,57.0252285409,57.2838131673,57.0252285409,57.0658214483,19120,adjusted
2023-08-31,57.1423234661,57.1423234661,56.8603198547,56.8603198547,20252,adjusted
2023-09-01,57.2301446599,57.5131240623,57.2204843286,57.3954436626,80999,adjusted
2023-09-05,57.483850331,57.6043605248,57.0643577617,57.1813551078,33574,adjusted
2023-09-06,57.0545022722,57.0545022722,56.6641858551,57.0151778932,21914,adjusted
2023-09-07,57.0837760035,57.4936082415,57.0837760035,57.2956202389,12061,adjusted
2023-09-08,57.5423977936,57.9815037629,57.5423977936,57.7354092619,86812,adjusted
2023-09-11,57.9912616733,58.115479873,57.68876645,57.68876645,26042,adjusted
2023-09-12,57.8351351064,58.3230306278,57.8351351064,58.2254515236,130534,adjusted
2023-09-13,58.1571461506,58.1571461506,57.7961034647,57.9417890674,57391,adjusted
2023-09-14,58.303514807,58.5315571737,58.2937568966,58.4986730155,13757,adjusted
2023-09-15,58.3815780904,58.3815780904,57.7375560022,57.7375560022,19481,adjusted
2023-09-18,57.6472012915,58.009947286,57.6472012915,57.8334762617,16972,adjusted
2023-09-19,57.7942604785,57.7942604785,57.353180957,57.757985879,14181,adjusted
2023-09-20,57.8530841533,58.0295551776,57.215729637,57.215729637,16089,adjusted
2023-09-21,56.6177869827,56.6639635674,56.0981778555,56.0981778555,37980,adjusted
2023-09-22,56.313864663,56.5981790911,56.2354330966,56.3333745151,18196,adjusted
2023-09-25,56.1275896928,56.4903356874,56.0197462891,56.4903356874,25063,adjusted
2023-09-26,56.2354330966,56.2942567714,55.8040594815,55.8824910479,12084,adjusted
2023-09-27,56.1079818013,56.2256291508,55.6079805656,56.0785699639,12816,adjusted
2023-09-28,56.166805476,56.9315132483,56.1471975844,56.6570027659,159260,adjusted
2023-09-29,57.0001408689,57.0001408689,56.0197462891,56.1587662405,24915,adjusted
2023-10-02,56.2256291508,56.4315120126,55.779549617,56.1570015302,30023,adjusted
2023-10-03,55.8138634273,56.0099423433,55.1766069505,55.343274029,31132,adjusted
