Date,Open,High,Low,Close,Volume,PriceMode
2023-08-23,33.5052345808,33.8251932253,33.4983485143,33.7904151118,156506,adjusted
2023-08-24,33.9851725476,33.9851725476,33.3452552585,33.3661221267,137690,adjusted
2023-08-25,33.5608795625,33.6582582804,33.1853454925,33.5747908079,172853,adjusted
2023-08-28,33.6791251485,33.804256801,33.6095689214,33.7765038664,261110,adjusted
2023-08-29,33.7904151118,34.2564418332,33.7765038664,34.2564418332,235523,adjusted
2023-08-30,34.2981755694,34.4270632582,34.2437130436,34.3885986646,233389,adjusted
2023-08-31,34.3885986646,34.4929330052,34.332953683,34.3503427397,195075,adjusted
2023-09-01,34.6111785913,34.6111785913,34.3121563711,34.4164211554,153551,adjusted
2023-09-05,34.5451001755,34.5451001755,34.2981755694,34.3538205511,301676,adjusted
2023-09-06,34.332953683,34.3607761738,33.999083793,34.1521074926,153593,adjusted
2023-09-07,34.047773152,34.113642899,33.9086606978,34.0825512655,187625,adjusted
2023-09-08,34.2355749651,34.2355749651,34.0755956428,34.1521074926,146143,adjusted
2023-09-11,34.4164211554,34.4998886279,34.2077524742,34.3259980603,212275,adjusted
2023-09-12,34.3677317965,34.5207554961,34.1521074926,34.2216637196,162166,adjusted
2023-09-13,34.2564418332,34.3120868148,34.1312406245,34.2425305878,164691,adjusted
2023-09-14,34.451199269,34.5342494041,34.3190424375,34.5068442506,199274,adjusted
2023-09-15,34.5555336096,34.5555336096,34.1104433126,34.1729743607,185692,adjusted
2023-09-18,34.2355749651,34.2550507086,34.117329379,34.1938412288,210287,adjusted
2023-09-19,34.1729743607,34.1799299834,33.9222241621,34.1103737563,228534,adjusted
2023-09-20,34.2609812922,34.282060649,33.7761560852,33.7761560852,179339,adjusted
2023-09-21,33.5723889693,33.642653492,33.2351192601,33.2913308783,243276,adjusted
2023-09-22,33.3967276624,33.4809748252,33.1648547373,33.2210663555,180156,adjusted
2023-09-25,33.1789076419,33.3264631397,33.0383785964,33.3264631397,203958,adjusted
2023-09-26,33.1226960237,33.1999869987,32.7794538301,32.848664385,168490,adjusted
2023-09-27,32.9962198827,33.0098512001,32.5886856508,32.8627172895,131646,adjusted
2023-09-28,32.6730030781,33.1789076419,32.6730030781,33.0524315009,97288,adjusted
2023-09-29,33.3897012101,33.3897012101,32.8627172895,32.9891934305,136961,adjusted
2023-10-02,32.8697437418,33.0243256918,32.7728489649,32.9821669782,134281,adjusted
2023-10-03,32.7854263145,32.9329818123,32.5253070513,32.5837671342,123092,adjusted
2023-10-04,32.7643469577,32.8697437418,32.5605798417,32.8416379327,93958,adjusted
2023-10-05,32.8837966463,32.8837966463,32.6273311383,32.8697437418,83607,adjusted
2023-10-06,32.669489852,33.2140399033,32.5886856508,33.1437753805,127584,adjusted
2023-10-09,33.1016166669,33.3123399706,32.9681140736,33.2491721646,78356,adjusted
2023-10-10,33.4037541147,33.5302302556,33.2744673928,33.4248334715,129994,adjusted
2023-10-11,33.565362517,33.565362517,33.347612761,33.5232038034,115476,adjusted
2023-10-12,33.5934683261,33.6000731912,33.2702515215,33.4178070192,145287,adjusted
2023-10-13,33.5723889693,33.5723889693,33.1718811896,33.2983573306,163852,adjusted
2023-10-16,33.4669921852,33.5864418738,33.3757185701,33.5583360647,127907,adjusted
2023-10-17,33.4669921852,33.6496096798,33.3545689488,33.5513096124,215781,adjusted
2023-10-18,33.5372567079,33.5372567079,33.1718811896,33.2421457124,133067,adjusted
2023-10-19,33.3897012101,33.4177367547,32.9821669782,33.0594579532,181207,adjusted
2023-10-20,32.9400082645,33.0594579532,32.6940824349,32.7502940531,127520,adjusted
2023-10-23,32.6308443644,32.9400082645,32.4832888667,32.7011088872,160929,adjusted
2023-10-24,32.9329818123,32.9891934305,32.714529411,32.9189289077,203244,adjusted
2023-10-25,32.8911621479,32.8911621479,32.4440013332,32.5078814496,205115,adjusted
2023-10-26,32.5078814496,32.5078814496,32.0607206349,32.1458941234,256113,adjusted
2023-10-27,32.131698542,32.2594587748,31.8690802858,31.9968405185,317054,adjusted
2023-10-30,32.2807521469,32.4298057518,32.1175029606,32.3659256354,185696,adjusted
2023-10-31,32.2949477283,32.5816274951,32.2595297527,32.5646637753,127868,adjusted
2023-11-01,32.671130636,32.8622741398,32.5933388498,32.8343798223,379058,adjusted
2023-11-02,33.01182459,33.2176605206,33.01182459,33.2176605206,234974,adjusted
2023-11-03,33.2744428463,33.402203079,33.2744428463,33.3738119162,175098,adjusted
2023-11-06,33.4589854047,33.4589854047,33.3241273812,33.4163986605,152589,adjusted
2023-11-07,33.3951052883,33.4802787768,33.3603261138,33.451887614,141199,adjusted
2023-11-08,33.5299633118,33.5512566839,33.3951052883,33.4944743583,217909,adjusted
2023-11-09,33.5228655211,33.5370611025,33.3356258022,33.3738119162,186671,adjusted
2023-11-10,33.4341431372,33.6079680317,33.3756573418,33.6009412189,206707,adjusted
2023-11-13,33.622234591,33.6434569853,33.5086699397,33.6080390096,193768,adjusted
2023-11-14,33.8493638937,33.8493638937,33.7502787354,33.8351683123,261750,adjusted
2023-11-15,33.8635594752,33.891950638,33.8138749402,33.8564616844,267015,adjusted
2023-11-16,33.8777550566,33.891950638,33.8138749402,33.8848528473,216289,adjusted
2023-11-17,33.9700263358,33.9700263358,33.848370203,33.9203418008,198193,adjusted
2023-11-20,33.9842219172,33.9984174986,33.8990484287,33.9558307544,423595,adjusted
2023-11-21,33.9700263358,33.9984174986,33.9190641985,33.9700263358,248317,adjusted
2023-11-22,34.082884976,34.1043928967,33.946668145,34.0326998278,406784,adjusted
2023-11-24,34.0326998278,34.0470384415,33.9825146795,34.0255305209,162283,adjusted
2023-11-27,34.0326998278,34.0470384415,33.9755604518,34.018361214,295216,adjusted
2023-11-28,34.018361214,34.0470384415,33.946668145,34.0470384415,267571,adjusted
2023-11-29,34.0685463622,34.0972235898,34.0195799961,34.0470384415,162125,adjusted
2023-11-30,34.0900542829,34.1043928967,34.0040226002,34.1043928967,185840,adjusted
2023-12-01,34.0685463622,34.2048348863,34.0255305209,34.2047631932,237030,adjusted
2023-12-04,34.0542077484,34.0972235898,33.953909145,34.082884976,238909,adjusted
2023-12-05,34.0398691347,34.1187315105,33.9897556795,34.0972235898,118237,adjusted
2023-12-06,34.1904245794,34.1975938863,33.9753453726,34.0111919071,176753,adjusted
2023-12-07,34.1043928967,34.2047631932,34.0685463622,34.1760859656,134596,adjusted
2023-12-08,34.154578045,34.2979641829,34.1357227678,34.2836255691,168912,adjusted
2023-12-11,34.2836255691,34.3696572518,34.2477790346,34.3696572518,199652,adjusted
2023-12-12,34.3768265587,34.4628582414,34.314740361,34.4628582414,198378,adjusted
2023-12-13,34.5058740828,34.6635988345,34.4556889345,34.6635988345,277593,adjusted
2023-12-14,34.7424612103,34.7567998241,34.6420909138,34.7137839827,327292,adjusted
2023-12-15,34.7424612103,34.7494871311,34.6564295276,34.7209532896,285178,adjusted
2023-12-18,34.7854770517,34.8213235861,34.7496305172,34.7783077448,392169,adjusted
2023-12-19,34.8069849724,34.8428315068,34.7854770517,34.8428315068,460067,adjusted
2023-12-20,34.8552559651,34.8842235578,34.6597247141,34.6814504086,325828,adjusted
2023-12-21,34.7973207796,34.8190464742,34.6923132559,34.811804576,296854,adjusted
2023-12-22,34.8335302705,34.8551835461,34.7684256058,34.8190464742,335595,adjusted
2023-12-26,34.8624978633,34.8987073542,34.811804576,34.8842235578,311429,adjusted
2023-12-27,34.9059492524,34.9131911506,34.8480140669,34.9059492524,222692,adjusted
2023-12-28,34.9421587433,34.9638844379,34.9131911506,34.931295896,215033,adjusted
2023-12-29,34.971126336,34.971126336,34.8842235578,34.9059492524,236023,adjusted
2024-01-02,34.8480140669,34.8480140669,34.6883302119,34.775595085,376129,adjusted
2024-01-03,34.6597247141,34.731709182,34.5583381395,34.6017895286,273857,adjusted
2024-01-04,34.6090314268,34.7249017977,34.4931610558,34.5257495977,353633,adjusted
2024-01-05,34.5366124449,34.7104180014,34.4782427456,34.580063834,278302,adjusted
2024-01-08,34.6017895286,34.9638844379,34.5873781512,34.9566425397,347688,adjusted
2024-01-09,34.8842235578,34.9783682342,34.7815334416,34.9421587433,235445,adjusted
2024-01-10,34.9783682342,35.1087224016,34.9132635695,35.0797548088,257057,adjusted
2024-01-11,35.0435453179,35.1594156889,34.8552559651,35.086996707,296066,adjusted
2024-01-12,35.1376899943,35.1955527608,35.0290615215,35.1159642997,224957,adjusted
2024-01-16,35.1232061979,35.1232061979,34.9131911506,35.0218196233,337908,adjusted
2024-01-17,34.9276749469,34.9276749469,34.7031761032,34.8407721687,355617,adjusted
2024-01-18,35.0218196233,35.1232061979,34.8842959768,35.1159642997,275207,adjusted
2024-01-19,35.2535603653,35.4128821253,35.1304480961,35.4128821253,323020,adjusted
2024-01-22,35.5432362927,35.5432362927,35.4288143013,35.4708173108,333009,adjusted
2024-01-23,35.5649619872,35.5649619872,35.4509020908,35.5504781909,346217,adjusted
2024-01-24,35.7623192694,35.7623192694,35.5501885149,35.5501885149,328587,adjusted
2024-01-25,35.6379667582,35.6817827313,35.5648182221,35.6525964654,199297,adjusted
2024-01-26,35.6452816118,35.696485587,35.6090730864,35.6672261726,335482,adjusted
2024-01-29,35.7476895622,35.7842638303,35.6379667582,35.7842638303,344860,adjusted
2024-01-30,35.8208380983,35.8208380983,35.733059855,35.7915786839,181957,adjusted
2024-01-31,35.7550044158,35.7683905979,35.4989845397,35.5209291005,223207,adjusted
2024-02-01,35.7038004406,35.8427826591,35.5575765171,35.8427826591,262781,adjusted
2024-02-02,35.9598203167,36.1134322424,35.8427826591,36.0256539992,381410,adjusted
2024-02-05,36.0695431208,36.0768579744,35.9013014879,36.0256539992,315367,adjusted
2024-02-06,36.1134322424,36.1134322424,35.9932491977,36.0695431208,402540,adjusted
2024-02-07,36.0988025352,36.2597293145,36.0768579744,36.2597293145,254223,adjusted
2024-02-08,36.2889887289,36.2963035825,36.2158401929,36.2450996073,280474,adjusted
2024-02-09,36.3840818258,36.3913966794,36.2816738753,36.3767669722,307534,adjusted
2024-02-12,36.471860069,36.471860069,36.3256361455,36.3548224114,324302,adjusted
2024-02-13,36.2012104857,36.2231550465,35.9405822518,36.1353768032,393524,adjusted
2024-02-14,36.3182481433,36.3182481433,36.1353768032,36.3182481433,367051,adjusted
2024-02-15,36.398711533,36.4141458741,36.2889887289,36.3840818258,253606,adjusted
2024-02-16,36.4499155082,36.4572303618,36.2963035825,36.4206560938,350748,adjusted
2024-02-20,36.3913966794,36.3913966794,36.1573945126,36.2670441681,608434,adjusted
2024-02-21,36.2148403114,36.2961223444,36.0744440727,36.0744440727,557454,adjusted
2024-02-22,36.5621362703,36.6286397518,36.4882435131,36.6212504761,638094,adjusted
2024-02-23,36.6655861304,36.6877539576,36.6212504761,36.6212504761,469703,adjusted
2024-02-26,36.6803646819,36.6877539576,36.5990826489,36.6138612004,398557,adjusted
2024-02-27,36.650807579,36.6655861304,36.2665652415,36.6655861304,306888,adjusted
2024-02-28,36.6655861304,36.6655861304,36.5843779903,36.6064719247,339929,adjusted
2024-02-29,36.7247003362,36.7320896119,36.6286397518,36.7320896119,370169,adjusted
2024-03-01,36.8207609206,36.9094322293,36.6978772653,36.9094322293,392230,adjusted
2024-03-04,36.9316000564,36.9463786079,36.8503180235,36.8724858506,415961,adjusted
2024-03-05,36.8798751264,36.8798751264,36.4882435131,36.6360290276,426679,adjusted
2024-03-06,36.8577072992,36.8577072992,36.676670044,36.7542574391,366404,adjusted
2024-03-07,36.9316000564,37.0128820894,36.8577072992,36.9907142622,343895,adjusted
2024-03-08,37.1089426737,37.1163319495,36.7764252663,36.9389893321,426175,adjusted
2024-03-11,36.9020429535,36.9537678836,36.6581968547,36.835539472,665663,adjusted
2024-03-12,37.0054928136,37.1311105009,36.835539472,37.1163319495,340201,adjusted
2024-03-13,37.2050032581,37.2050032581,37.0054928136,37.0941641223,385706,adjusted
2024-03-14,37.1606676038,37.1754461552,36.9242107807,37.0646070194,442507,adjusted
2024-03-15,37.049828468,37.049828468,36.8040611575,36.8946536778,364187,adjusted
2024-03-18,37.1902247067,37.2271710853,37.0386706616,37.0572177437,576635,adjusted
2024-03-19,37.0646070194,37.2050032581,36.9542112401,37.1976139824,473249,adjusted
2024-03-20,37.2414314584,37.3981589255,37.1667993312,37.3981589255,547146,adjusted
2024-03-21,37.4653278399,37.5316011689,37.4513716322,37.4653278399,502081,adjusted
2024-03-22,37.4727910527,37.5026439035,37.4354749891,37.4802542654,730285,adjusted
2024-03-25,37.4056221382,37.4716715707,37.3981589255,37.4354749891,472248,adjusted
