Date,Open,High,Low,Close,Volume,PriceMode
2023-08-22,126.950503698,127.2548729284,126.6271113907,126.6936921598,6939610,adjusted
2023-08-23,127.4546152359,127.7399613894,126.6984479291,127.0741536979,7276780,adjusted
2023-08-24,126.8268536981,127.8255652354,125.9708152376,125.9708152376,10241732,adjusted
2023-08-25,126.379811391,127.3404767745,125.9517921607,126.8934344673,8509077,adjusted
2023-08-28,127.3404767745,127.7494729278,126.717471006,127.1882921593,6768441,adjusted
2023-08-29,127.3594998514,128.3296767733,127.1882921593,128.3296767733,10736986,adjusted
2023-08-30,128.6435575422,129.0335306187,128.1204229274,128.2345613888,7892678,adjusted
2023-08-31,128.2535844657,128.3201652349,126.6746690829,126.7032036983,7540165,adjusted
2023-09-01,127.6828921587,127.6828921587,126.7127152367,127.0456190825,10183853,adjusted
2023-09-05,127.1121998517,127.2025594669,125.7330267763,125.7330267763,11042676,adjusted
2023-09-06,125.5808421611,125.704492161,124.4394575471,125.0481960079,12840059,adjusted
2023-09-07,125.4286575459,126.1467786989,125.3335421614,125.6093767765,11055727,adjusted
2023-09-08,125.3430536999,125.9898383145,125.3145190845,125.6093767765,8717030,adjusted
2023-09-11,125.5523075458,126.717471006,125.5332844689,126.4749267755,7178983,adjusted
2023-09-12,126.0944652375,126.6413786984,125.4105856229,126.3132306218,6941890,adjusted
2023-09-13,126.0088613914,126.8363652366,125.9708152376,126.3322536987,6430300,adjusted
2023-09-14,127.0456190825,127.1217113901,126.3512767756,126.7317383136,6433355,adjusted
2023-09-15,126.4273690832,127.0248839287,125.6426671611,125.7330267763,9612005,adjusted
2023-09-18,125.9339121713,126.0580696761,125.0648096377,125.5423385023,6559420,adjusted
2023-09-19,125.3322258019,125.9148110167,124.8069440509,125.6473948526,6252402,adjusted
2023-09-20,126.2013283355,126.5546996953,125.6378442753,125.6569454298,6350825,adjusted
2023-09-21,125.4181809975,125.6235184093,124.5013255775,124.5586290413,7979573,adjusted
2023-09-22,124.3962692273,125.0361579059,124.157504795,124.3007634544,7790307,adjusted
2023-09-25,124.1766059496,125.0122814626,123.8327851671,124.9788544421,6826343,adjusted
2023-09-26,124.4058198046,124.8021687622,123.8232345898,123.9187403627,8200850,adjusted
2023-09-27,124.1479542177,124.2721117225,122.390647996,123.2979528387,9888551,adjusted
2023-09-28,123.5080655392,124.2434599906,123.5080655392,123.8900886308,9129071,adjusted
2023-09-29,124.157504795,124.2721117225,122.767895799,122.9541320562,12692668,adjusted
2023-10-02,122.5625583873,122.8204239741,121.3496350712,122.782221665,16035101,adjusted
2023-10-03,122.1805352956,122.4384008825,121.1777246799,121.6934558537,11971088,adjusted
2023-10-04,121.7985122039,122.3810974187,121.2254775664,122.2091870275,10064397,adjusted
2023-10-05,122.4861537689,123.0973907156,121.7889616266,122.8777274379,9609778,adjusted
2023-10-06,122.5339066554,124.5586290413,122.4670526143,124.1670553723,10692361,adjusted
2023-10-09,123.8232345898,124.7114382779,123.321829282,124.5968313504,8047600,adjusted
2023-10-10,124.5586290413,125.752355697,124.1288530631,125.1889671425,8154935,adjusted
2023-10-11,125.3417763792,125.5423385023,124.0811001767,124.6350336596,9591851,adjusted
2023-10-12,124.7305394325,124.9693038648,123.46986323,123.5653690029,10927662,adjusted
2023-10-13,124.0237967129,125.0552590605,123.6417736212,124.3389657636,11383864,adjusted
2023-10-16,124.8355957827,125.9912156351,124.7305394325,125.2749223382,10544998,adjusted
2023-10-17,124.6732359688,125.7858782233,124.5729549072,125.1030119469,9149878,adjusted
2023-10-18,125.2749223382,125.628293698,123.7969705022,124.0142461356,10085684,adjusted
2023-10-19,123.8518863217,123.9808191151,122.0277260589,122.7917722423,15492635,adjusted
2023-10-20,122.5434572327,123.1833459112,122.2855916458,122.3046928004,12296754,adjusted
2023-10-23,122.2187376048,122.6294124283,121.4260396895,121.540646617,12344261,adjusted
2023-10-24,121.1490729481,122.2951422231,121.1490729481,121.9131191314,9375911,adjusted
2023-10-25,121.3591856485,121.7316581629,119.9265990547,120.8243533201,11426996,adjusted
